"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain - attractionrad.nlogo"
"experiment"
"10/23/2022 16:41:02:852 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"4","500","5","60","0","1.5","15","2","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","500","5","60","0","1.5","15","1","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","500","5","60","0","1.5","15","5","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","500","5","60","0","1.5","15","4","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","500","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","500","5","60","0","1.5","15","1","1","20","1","0","506","99.8","522","32","57","59","79","105","142","182","477","127332"
"1","500","5","60","0","1.5","15","5","1","20","1","0","789","99.8","803","65","87","112","120","140","205","298","641","126516"
"4","500","5","60","0","1.5","15","2","1","20","1","0","534","99.8","558","44","41","77","101","90","161","189","532","127194"
"3","500","5","60","0","1.5","15","3","1","20","1","0","620","99.8","639","57","57","71","75","133","166","223","556","127010"
"2","500","5","60","0","1.5","15","4","1","20","1","0","716","99.8","744","55","68","83","110","146","173","261","667","126680"
"5","500","5","60","0","1.5","15","1","1","20","2","1","775","99.89989989989989","790","59","73","74","72","118","165","287","1012","126337"
"4","500","5","60","0","1.5","15","2","1","20","2","1","842","99.89989989989989","860","63","72","83","89","102","187","333","1143","126055"
"1","500","5","60","0","1.5","15","5","1","20","2","1","1210","99.89989989989989","1233","81","91","113","130","144","204","400","1168","125423"
"2","500","5","60","0","1.5","15","4","1","20","2","1","1081","99.89989989989989","1114","68","79","99","118","110","232","390","1404","125373"
"3","500","5","60","0","1.5","15","3","1","20","2","1","948","99.89989989989989","977","75","83","79","103","124","197","346","1190","125813"
"5","500","5","60","0","1.5","15","1","1","20","3","2","964","99.93324432576769","987","53","73","77","102","138","210","444","1818","125085"
"1","500","5","60","0","1.5","15","5","1","20","3","2","1479","99.93324432576769","1513","71","95","95","135","183","255","506","1781","124353"
"4","500","5","60","0","1.5","15","2","1","20","3","2","1048","99.93324432576769","1076","69","74","71","89","157","223","506","2003","124719"
"2","500","5","60","0","1.5","15","4","1","20","3","2","1318","99.93324432576769","1348","75","61","99","130","174","281","564","2435","123820"
"3","500","5","60","0","1.5","15","3","1","20","3","2","1164","99.93324432576769","1194","68","74","68","128","161","244","513","1708","124829"
"5","500","5","60","0","1.5","15","1","1","20","4","3","1098","99.949924887331","1114","67","65","90","123","153","293","673","2352","124057"
"4","500","5","60","0","1.5","15","2","1","20","4","3","1210","99.949924887331","1233","53","67","86","129","175","296","674","2554","123720"
"1","500","5","60","0","1.5","15","5","1","20","4","3","1678","99.92538808212319","1708","75","86","124","157","179","336","696","2521","123105"
"2","500","5","60","0","1.5","15","4","1","20","4","3","1492","99.949924887331","1514","65","109","113","138","210","339","781","3042","122676"
"3","500","5","60","0","1.5","15","3","1","20","4","3","1331","99.949924887331","1352","66","87","94","129","199","315","652","2324","123769"
"5","500","5","60","0","1.5","15","1","1","20","5","4","1199","99.9599358974359","1226","74","77","102","138","189","372","793","2617","123399"
"4","500","5","60","0","1.5","15","2","1","20","5","4","1310","99.9599358974359","1329","58","73","114","160","195","351","740","2549","123418"
