BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,
cradlemountain - attractionrad.nlogo,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,
10/23/2022 01:58:16:586 +1100,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-260,260,-140,140,,,,,,,,,,,,,,,,,,,,
[run number],tourist-count,shortcutting-tourists,shortcut-threshold,test-regrowth-after,deviation-chance,vegetation-growth-rate,attraction-exploration-radius,damage-per-step,attraction-exploration-time,[step],ticks,count patches with [vegetation-health < 5 and not path? and not lake?],happiness-avg / happiness-count,vegetation-decile 1,vegetation-decile 2,vegetation-decile 3,vegetation-decile 4,vegetation-decile 5,vegetation-decile 6,vegetation-decile 7,vegetation-decile 8,vegetation-decile 9,vegetation-decile 10
2,1500,5,60,0,1.5,15,4,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
5,1500,5,60,0,1.5,15,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
3,1500,5,60,0,1.5,15,3,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
4,1500,5,60,0,1.5,15,2,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
1,1500,5,60,0,1.5,15,5,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128987
2,1500,5,60,0,1.5,15,4,1,20,1,0,1319,99.93337775,1344,75,84,83,104,177,258,513,2091,124258
5,1500,5,60,0,1.5,15,1,1,20,1,0,969,99.93337775,992,55,62,81,95,123,229,451,1716,125183
3,1500,5,60,0,1.5,15,3,1,20,1,0,1166,99.93337775,1190,55,73,104,114,141,228,482,1628,124972
4,1500,5,60,0,1.5,15,2,1,20,1,0,1057,99.93337775,1075,52,75,92,106,130,215,506,2127,124609
1,1500,5,60,0,1.5,15,5,1,20,1,0,1457,99.93337775,1481,61,91,110,122,184,251,534,1978,124175
3,1500,5,60,0,1.5,15,3,1,20,2,1,1577,99.96667777,1605,87,95,115,192,291,530,1148,4710,120214
5,1500,5,60,0,1.5,15,1,1,20,2,1,1313,99.96667777,1342,72,79,132,182,284,510,1295,5173,119918
2,1500,5,60,0,1.5,15,4,1,20,2,1,1734,99.96667777,1776,92,104,131,195,306,535,1414,5586,118848
4,1500,5,60,0,1.5,15,2,1,20,2,1,1431,99.96667777,1448,56,93,138,204,280,557,1392,4968,119851
1,1500,5,60,0,1.5,15,5,1,20,2,1,1913,97.68477174,1944,93,117,147,191,296,509,1170,4779,119741
3,1500,5,60,0,1.5,15,3,1,20,3,2,1875,99.97778271,1916,95,152,209,340,411,778,2163,6951,115972
2,1500,5,60,0,1.5,15,4,1,20,3,2,2056,95.39080204,2093,106,142,215,295,446,912,2192,7147,115439
5,1500,5,60,0,1.5,15,1,1,20,3,2,1584,99.97778271,1616,127,146,194,284,519,971,2467,7520,115143
4,1500,5,60,0,1.5,15,2,1,20,3,2,1687,99.97778271,1727,124,119,219,268,519,930,2294,6742,116045
1,1500,5,60,0,1.5,15,5,1,20,3,2,2247,84.21284159,2291,118,148,222,305,438,858,2092,6965,115550
3,1500,5,60,0,1.5,15,3,1,20,4,3,2133,96.34294284,2177,178,212,257,391,579,1199,3018,7776,113200
2,1500,5,60,0,1.5,15,4,1,20,4,3,2336,85.91551408,2389,175,182,276,431,676,1266,3143,7247,113202
5,1500,5,60,0,1.5,15,1,1,20,4,3,1866,99.98333611,1917,145,188,285,435,719,1380,3510,7816,112592
4,1500,5,60,0,1.5,15,2,1,20,4,3,1988,99.98333611,2033,153,189,296,476,716,1410,3182,7535,112997
1,1500,5,60,0,1.5,15,5,1,20,4,3,2553,76.96250625,2608,145,226,288,428,650,1350,2984,7577,112731
3,1500,5,60,0,1.5,15,3,1,20,5,4,2428,92.54086122,2502,190,245,347,493,836,1629,3607,6937,112201
2,1500,5,60,0,1.5,15,4,1,20,5,4,2651,80.23703506,2706,210,269,366,555,865,1775,3649,6537,112055
5,1500,5,60,0,1.5,15,1,1,20,5,4,2123,99.98666844,2186,191,257,370,570,932,1859,4016,6822,111784
4,1500,5,60,0,1.5,15,2,1,20,5,4,2284,99.98666844,2344,189,276,450,573,1043,1880,3905,7441,110886
1,1500,5,60,0,1.5,15,5,1,20,5,4,2836,71.31795761,2900,213,249,381,549,898,1600,3719,7295,111183
3,1500,5,60,0,1.5,15,3,1,20,6,5,2722,89.03710699,2796,268,268,450,674,1070,2024,3809,5605,112023
2,1500,5,60,0,1.5,15,4,1,20,6,5,2953,76.03332963,3022,270,294,477,702,1161,2099,3830,5724,111408
5,1500,5,60,0,1.5,15,1,1,20,6,5,2389,99.98889012,2481,253,338,475,794,1188,2348,4004,5496,111610
4,1500,5,60,0,1.5,15,2,1,20,6,5,2574,97.73125208,2646,318,400,501,873,1331,2341,4192,6708,109677
1,1500,5,60,0,1.5,15,5,1,20,6,5,3159,67.69414509,3247,246,356,501,761,1164,2069,4073,6110,110460
3,1500,5,60,0,1.5,15,3,1,20,7,6,3029,85.87201219,3114,263,393,551,850,1277,2363,3653,4748,111775
2,1500,5,60,0,1.5,15,4,1,20,7,6,3277,72.60937054,3365,325,399,598,900,1402,2349,3709,5131,110809
5,1500,5,60,0,1.5,15,1,1,20,7,6,2730,99.9904771,2818,324,400,687,922,1542,2658,3864,4779,110993
4,1500,5,60,0,1.5,15,2,1,20,7,6,2937,94.94962385,3046,348,435,680,1047,1626,2709,4113,5838,109145
1,1500,5,60,0,1.5,15,5,1,20,7,6,3500,64.49519093,3585,329,407,590,944,1401,2396,3994,5295,110046
3,1500,5,60,0,1.5,15,3,1,20,8,7,3308,82.72768936,3407,323,472,658,1017,1529,2364,3297,4362,111558
2,1500,5,60,0,1.5,15,4,1,20,8,7,3636,69.92117324,3754,383,442,720,1082,1634,2477,3549,4852,110094
5,1500,5,60,0,1.5,15,1,1,20,8,7,3054,99.99166736,3158,370,525,727,1116,1794,2659,3571,4373,110694
4,1500,5,60,0,1.5,15,2,1,20,8,7,3336,92.56070327,3442,387,542,822,1284,1866,2769,3836,4788,109251
1,1500,5,60,0,1.5,15,5,1,20,8,7,3849,61.89975835,3971,353,530,732,1130,1601,2603,3679,4703,109685
3,1500,5,60,0,1.5,15,3,1,20,9,8,3596,80.26798015,3714,427,549,795,1126,1685,2425,2842,4055,111369
2,1500,5,60,0,1.5,15,4,1,20,9,8,3961,67.55003333,4100,392,566,778,1221,1755,2521,3310,4549,109795
5,1500,5,60,0,1.5,15,1,1,20,9,8,3399,99.99259314,3528,473,621,856,1310,1923,2580,3214,4151,110331
4,1500,5,60,0,1.5,15,2,1,20,9,8,3631,89.9615584,3756,483,605,976,1418,1985,2754,3413,4185,109412
1,1500,5,60,0,1.5,15,5,1,20,9,8,4178,60.07036516,4306,412,622,860,1160,1743,2566,3324,4316,109678
3,1500,5,60,0,1.5,15,3,1,20,10,9,3938,77.63575762,4095,488,617,860,1279,1782,2278,2578,4016,110994
2,1500,5,60,0,1.5,15,4,1,20,10,9,4297,65.70168655,4429,509,615,902,1353,1749,2438,3006,4306,109680
5,1500,5,60,0,1.5,15,1,1,20,10,9,3828,99.99200053,4013,537,697,1049,1453,1996,2433,2865,4225,109719
4,1500,5,60,0,1.5,15,2,1,20,10,9,3971,88.070062,4103,518,732,1045,1513,1994,2451,3028,3532,110071
1,1500,5,60,0,1.5,15,5,1,20,10,9,4527,58.47390174,4682,493,667,932,1271,1824,2382,2901,3880,109955
3,1500,5,60,0,1.5,15,3,1,20,11,10,4313,75.13762802,4505,534,665,963,1396,1751,2085,2457,3905,110726
2,1500,5,60,0,1.5,15,4,1,20,11,10,4633,63.99884855,4810,540,694,1014,1414,1686,2334,2812,3950,109733
5,1500,5,60,0,1.5,15,1,1,20,11,10,4237,97.92521665,4419,611,833,1121,1574,1958,2287,2547,4298,109339
4,1500,5,60,0,1.5,15,2,1,20,11,10,4279,86.0076965,4443,601,800,1137,1568,1894,2212,2596,3394,110342
1,1500,5,60,0,1.5,15,5,1,20,11,10,4898,57.29507303,5040,596,771,975,1419,1834,2197,2702,3892,109561
3,1500,5,60,0,1.5,15,3,1,20,12,11,4696,72.93083718,4880,599,736,1052,1426,1694,1864,2451,3890,110395
2,1500,5,60,0,1.5,15,4,1,20,12,11,4952,62.76456864,5125,586,775,1100,1432,1683,2106,2586,3700,109894
5,1500,5,60,0,1.5,15,1,1,20,12,11,4564,95.88045109,4758,728,880,1208,1588,1854,2109,2470,4063,109329
4,1500,5,60,0,1.5,15,2,1,20,12,11,4625,84.18387867,4813,686,876,1215,1514,1788,2090,2284,3139,110582
1,1500,5,60,0,1.5,15,5,1,20,12,11,5293,56.30698295,5506,670,811,1098,1511,1779,2089,2536,3938,109049
3,1500,5,60,0,1.5,15,3,1,20,13,12,5044,71.17440131,5255,624,841,1126,1386,1626,1721,2370,3742,110296
2,1500,5,60,0,1.5,15,4,1,20,13,12,5324,61.70114353,5516,670,882,1150,1432,1662,1935,2365,3588,109787
5,1500,5,60,0,1.5,15,1,1,20,13,12,4885,93.70016922,5106,743,1002,1218,1544,1718,1886,2366,3622,109782
4,1500,5,60,0,1.5,15,2,1,20,13,12,5000,82.32839342,5242,714,941,1268,1437,1744,1900,2035,3131,110575
1,1500,5,60,0,1.5,15,5,1,20,13,12,5694,55.40428696,5938,689,849,1175,1558,1759,1999,2450,3838,108732
3,1500,5,60,0,1.5,15,3,1,20,14,13,5405,69.43431265,5611,703,911,1170,1343,1523,1731,2198,3594,110203
2,1500,5,60,0,1.5,15,4,1,20,14,13,5754,60.35093567,5981,751,974,1170,1385,1614,1784,2340,3658,109330
5,1500,5,60,0,1.5,15,1,1,20,14,13,5319,90.98319128,5566,861,970,1302,1486,1562,1798,2212,3031,110199
4,1500,5,60,0,1.5,15,2,1,20,14,13,5480,80.29046236,5739,773,1008,1266,1423,1699,1723,2004,3225,110127
3,1500,5,60,0,1.5,15,3,1,20,15,14,5790,67.58890716,6035,799,904,1180,1328,1396,1776,2132,3499,109938
1,1500,5,60,0,1.5,15,5,1,20,14,13,6105,54.63287463,6337,741,961,1190,1554,1695,1900,2325,3761,108523
2,1500,5,60,0,1.5,15,4,1,20,15,14,6171,59.18074752,6413,820,1019,1177,1367,1516,1719,2163,3927,108866
5,1500,5,60,0,1.5,15,1,1,20,15,14,5771,88.44989112,6070,863,1008,1326,1406,1542,1696,2016,3148,109912
4,1500,5,60,0,1.5,15,2,1,20,15,14,5891,78.24452247,6148,881,1032,1180,1467,1575,1585,1989,3417,109713
3,1500,5,60,0,1.5,15,3,1,20,16,15,6227,66.00149994,6484,825,949,1137,1344,1341,1698,2073,3702,109434
1,1500,5,60,0,1.5,15,5,1,20,15,14,6512,53.6382383,6775,803,1009,1241,1525,1549,1892,2250,3602,108341
2,1500,5,60,0,1.5,15,4,1,20,16,15,6566,57.83417358,6857,863,987,1185,1360,1385,1720,2165,3869,108596
5,1500,5,60,0,1.5,15,1,1,20,16,15,6224,86.15511854,6537,852,1091,1226,1393,1498,1644,1771,3105,109870
4,1500,5,60,0,1.5,15,2,1,20,16,15,6323,76.21507437,6653,893,976,1199,1483,1381,1571,1940,3360,109531
3,1500,5,60,0,1.5,15,3,1,20,17,16,6592,64.38449473,6914,836,936,1126,1266,1314,1660,1909,3720,109306
