"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain.nlogo"
"tourist-sensitivity"
"10/23/2022 15:12:28:613 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"2","475","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","475","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","475","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"1","475","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","475","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","475","5","60","0","1.5","15","3","1","20","1","0","585","99.78991596638656","611","52","63","68","84","119","156","211","494","127129"
"3","475","5","60","0","1.5","15","3","1","20","1","0","601","99.78991596638656","620","46","57","68","95","109","157","218","523","127094"
"1","475","5","60","0","1.5","15","3","1","20","1","0","616","99.78991596638656","633","51","64","69","76","120","139","253","526","127056"
"5","475","5","60","0","1.5","15","3","1","20","1","0","595","99.78991596638656","619","55","56","72","99","109","192","205","596","126984"
"4","475","5","60","0","1.5","15","3","1","20","1","0","602","99.78991596638656","619","54","72","63","91","118","167","230","530","127043"
"2","475","5","60","0","1.5","15","3","1","20","2","1","918","99.89484752891693","939","55","85","82","89","123","152","325","977","126160"
"1","475","5","60","0","1.5","15","3","1","20","2","1","936","99.89484752891693","953","68","56","91","112","110","207","308","951","126131"
"3","475","5","60","0","1.5","15","3","1","20","2","1","912","99.89484752891693","930","69","68","90","89","133","186","325","986","126111"
"5","475","5","60","0","1.5","15","3","1","20","2","1","902","99.89484752891693","930","73","79","86","97","113","187","351","1058","126013"
"4","475","5","60","0","1.5","15","3","1","20","2","1","910","99.89484752891693","931","68","90","83","117","111","172","334","1062","126019"
"2","475","5","60","0","1.5","15","3","1","20","3","2","1159","99.92987377279103","1175","70","64","69","101","152","225","434","1743","124954"
"1","475","5","60","0","1.5","15","3","1","20","3","2","1142","99.92987377279103","1153","69","71","84","119","149","222","434","1357","125329"
"3","475","5","60","0","1.5","15","3","1","20","3","2","1131","99.92987377279103","1159","58","81","97","106","157","236","449","1805","124839"
"5","475","5","60","0","1.5","15","3","1","20","3","2","1139","99.92987377279103","1156","57","77","76","120","167","208","488","1709","124929"
"4","475","5","60","0","1.5","15","3","1","20","3","2","1146","99.92987377279103","1174","73","62","83","111","143","236","488","1690","124927"
"2","475","5","60","0","1.5","15","3","1","20","4","3","1303","99.94739610731195","1319","66","63","92","146","171","291","597","2187","124055"
"1","475","5","60","0","1.5","15","3","1","20","4","3","1284","99.94739610731195","1304","68","79","101","116","171","300","539","1780","124529"
"3","475","5","60","0","1.5","15","3","1","20","4","3","1296","99.94739610731195","1323","68","77","102","140","168","301","649","2283","123876"
"5","475","5","60","0","1.5","15","3","1","20","4","3","1287","99.94739610731195","1304","67","87","94","132","172","281","636","2145","124069"
"4","475","5","60","0","1.5","15","3","1","20","4","3","1301","99.94739610731195","1313","63","81","100","117","174","308","579","2105","124147"
"2","475","5","60","0","1.5","15","3","1","20","5","4","1421","99.95791245791246","1443","66","94","101","156","216","344","839","2693","123035"
"1","475","5","60","0","1.5","15","3","1","20","5","4","1403","99.95791245791246","1424","73","95","92","160","208","340","612","1925","124058"
"3","475","5","60","0","1.5","15","3","1","20","5","4","1427","99.95791245791246","1447","76","83","120","135","219","344","792","2346","123425"
"5","475","5","60","0","1.5","15","3","1","20","5","4","1406","99.95791245791246","1425","79","101","99","143","209","373","712","2229","123617"
"4","475","5","60","0","1.5","15","3","1","20","5","4","1416","99.95791245791246","1442","79","69","112","152","221","338","748","2187","123639"
"2","475","5","60","0","1.5","15","3","1","20","6","5","1509","99.9649245878639","1538","93","98","115","182","234","398","962","2537","122830"
"1","475","5","60","0","1.5","15","3","1","20","6","5","1515","99.9649245878639","1550","79","75","135","178","230","349","714","1829","123848"
"3","475","5","60","0","1.5","15","3","1","20","6","5","1544","99.9649245878639","1570","86","86","117","177","239","406","908","2152","123246"
"5","475","5","60","0","1.5","15","3","1","20","6","5","1515","99.9649245878639","1543","91","78","113","180","251","386","816","2131","123398"
"2","475","5","60","0","1.5","15","3","1","20","7","6","1622","99.96993385447986","1657","90","89","152","181","275","474","951","1807","123311"
"4","475","5","60","0","1.5","15","3","1","20","6","5","1528","99.9649245878639","1550","78","97","129","194","227","390","805","2109","123408"
"1","475","5","60","0","1.5","15","3","1","20","7","6","1619","99.96993385447986","1657","74","108","137","200","224","408","719","1798","123662"
"3","475","5","60","0","1.5","15","3","1","20","7","6","1652","99.96993385447986","1677","76","106","128","202","293","466","939","2190","122910"
"2","475","5","60","0","1.5","15","3","1","20","8","7","1705","99.97369113391213","1751","74","143","142","208","311","483","1004","1642","123229"
"5","475","5","60","0","1.5","15","3","1","20","7","6","1615","99.96993385447986","1642","71","113","144","201","249","432","843","1901","123391"
"4","475","5","60","0","1.5","15","3","1","20","7","6","1615","99.96993385447986","1638","80","128","145","192","267","423","844","1724","123546"
"1","475","5","60","0","1.5","15","3","1","20","8","7","1710","99.97369113391213","1740","87","120","163","198","269","384","691","1718","123617"
"2","475","5","60","0","1.5","15","3","1","20","9","8","1808","99.97123479887746","1833","114","127","164","231","330","507","905","1685","123091"
"3","475","5","60","0","1.5","15","3","1","20","8","7","1733","99.96764009471192","1767","83","123","153","214","314","533","919","2189","122692"
"5","475","5","60","0","1.5","15","3","1","20","8","7","1705","99.97369113391213","1734","97","103","161","226","272","450","884","1800","123260"
"4","475","5","60","0","1.5","15","3","1","20","8","7","1700","99.96474611944225","1744","91","117","175","198","289","408","781","1453","123731"
